"Kod";"Nazwa";"Miesiące";"Rodzaje towarów i usług";"Cena i wskaźniki";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0000000;"POLSKA";"styczeń";"bułka pszenna - za 50g";"cena";"2006";0,30;"zł";"";
0000000;"POLSKA";"styczeń";"bułka pszenna - za 50g";"cena";"2007";0,33;"zł";"";
0000000;"POLSKA";"styczeń";"bułka pszenna - za 50g";"cena";"2008";0,38;"zł";"";
0000000;"POLSKA";"styczeń";"bułka pszenna - za 50g";"cena";"2009";0,40;"zł";"";
0000000;"POLSKA";"styczeń";"bułka pszenna - za 50g";"cena";"2010";0,39;"zł";"";
0000000;"POLSKA";"styczeń";"bułka pszenna - za 50g";"cena";"2011";0,42;"zł";"";
0000000;"POLSKA";"styczeń";"bułka pszenna - za 50g";"cena";"2012";0,44;"zł";"";
0000000;"POLSKA";"styczeń";"bułka pszenna - za 50g";"cena";"2013";0,43;"zł";"";
0000000;"POLSKA";"styczeń";"bułka pszenna - za 50g";"cena";"2014";0,43;"zł";"";
0000000;"POLSKA";"styczeń";"bułka pszenna - za 50g";"cena";"2015";0,42;"zł";"";
0000000;"POLSKA";"styczeń";"bułka pszenna - za 50g";"cena";"2016";0,41;"zł";"";
0000000;"POLSKA";"styczeń";"bułka pszenna - za 50g";"cena";"2017";0,41;"zł";"";
0000000;"POLSKA";"styczeń";"bułka pszenna - za 50g";"cena";"2018";0,42;"zł";"";
0000000;"POLSKA";"styczeń";"bułka pszenna - za 50g";"cena";"2019";0,48;"zł";"";
0000000;"POLSKA";"styczeń";"kurczęta patroszone - za 1kg";"cena";"2006";4,53;"zł";"";
0000000;"POLSKA";"styczeń";"kurczęta patroszone - za 1kg";"cena";"2007";5,52;"zł";"";
0000000;"POLSKA";"styczeń";"kurczęta patroszone - za 1kg";"cena";"2008";5,95;"zł";"";
0000000;"POLSKA";"styczeń";"kurczęta patroszone - za 1kg";"cena";"2009";6,91;"zł";"";
0000000;"POLSKA";"styczeń";"kurczęta patroszone - za 1kg";"cena";"2010";6,06;"zł";"";
0000000;"POLSKA";"styczeń";"kurczęta patroszone - za 1kg";"cena";"2011";6,61;"zł";"";
0000000;"POLSKA";"styczeń";"kurczęta patroszone - za 1kg";"cena";"2012";7,08;"zł";"";
0000000;"POLSKA";"styczeń";"kurczęta patroszone - za 1kg";"cena";"2013";7,33;"zł";"";
0000000;"POLSKA";"styczeń";"kurczęta patroszone - za 1kg";"cena";"2014";7,20;"zł";"";
0000000;"POLSKA";"styczeń";"kurczęta patroszone - za 1kg";"cena";"2015";6,90;"zł";"";
0000000;"POLSKA";"styczeń";"kurczęta patroszone - za 1kg";"cena";"2016";6,83;"zł";"";
0000000;"POLSKA";"styczeń";"kurczęta patroszone - za 1kg";"cena";"2017";6,60;"zł";"";
0000000;"POLSKA";"styczeń";"kurczęta patroszone - za 1kg";"cena";"2018";7,12;"zł";"";
0000000;"POLSKA";"styczeń";"kurczęta patroszone - za 1kg";"cena";"2019";6,85;"zł";"";
0000000;"POLSKA";"styczeń";"kiełbasa wędzona - za 1kg";"cena";"2006";11,81;"zł";"";
0000000;"POLSKA";"styczeń";"kiełbasa wędzona - za 1kg";"cena";"2007";11,73;"zł";"";
0000000;"POLSKA";"styczeń";"kiełbasa wędzona - za 1kg";"cena";"2008";12,27;"zł";"";
0000000;"POLSKA";"styczeń";"kiełbasa wędzona - za 1kg";"cena";"2009";13,13;"zł";"";
0000000;"POLSKA";"styczeń";"kiełbasa wędzona - za 1kg";"cena";"2010";14,15;"zł";"";
0000000;"POLSKA";"styczeń";"kiełbasa wędzona - za 1kg";"cena";"2011";14,09;"zł";"";
0000000;"POLSKA";"styczeń";"kiełbasa wędzona - za 1kg";"cena";"2012";15,35;"zł";"";
0000000;"POLSKA";"styczeń";"kiełbasa wędzona - za 1kg";"cena";"2013";16,07;"zł";"";
0000000;"POLSKA";"styczeń";"kiełbasa wędzona - za 1kg";"cena";"2014";15,90;"zł";"";
0000000;"POLSKA";"styczeń";"kiełbasa wędzona - za 1kg";"cena";"2015";15,58;"zł";"";
0000000;"POLSKA";"styczeń";"kiełbasa wędzona - za 1kg";"cena";"2016";15,37;"zł";"";
0000000;"POLSKA";"styczeń";"kiełbasa wędzona - za 1kg";"cena";"2017";;"zł";"";
0000000;"POLSKA";"styczeń";"kiełbasa wędzona - za 1kg";"cena";"2018";;"zł";"";
0000000;"POLSKA";"styczeń";"kiełbasa wędzona - za 1kg";"cena";"2019";;"zł";"";
