Kod;Nazwa;MIESIAC;Rodzaj ;Cena_i_wska�niki;Rok;Wartosc;Jednostka_miary;Atrybut
0;POLSKA;maj;bułka pszenna - za 50g;cena;2006;0,29;zł;
0;POLSKA;maj;bułka pszenna - za 50g;cena;2007;0,33;zł;
0;POLSKA;maj;bułka pszenna - za 50g;cena;2008;0,39;zł;
0;POLSKA;maj;bułka pszenna - za 50g;cena;2009;0,4;zł;
0;POLSKA;maj;bułka pszenna - za 50g;cena;2010;0,39;zł;
0;POLSKA;maj;bułka pszenna - za 50g;cena;2011;0,45;zł;
0;POLSKA;maj;bułka pszenna - za 50g;cena;2012;0,44;zł;
0;POLSKA;maj;bułka pszenna - za 50g;cena;2013;0,43;zł;
0;POLSKA;maj;bułka pszenna - za 50g;cena;2014;0,43;zł;
0;POLSKA;maj;bułka pszenna - za 50g;cena;2015;0,41;zł;
0;POLSKA;maj;bułka pszenna - za 50g;cena;2016;0,41;zł;
0;POLSKA;maj;bułka pszenna - za 50g;cena;2017;0,41;zł;
0;POLSKA;maj;bułka pszenna - za 50g;cena;2018;0,43;zł;
0;POLSKA;maj;bułka pszenna - za 50g;cena;2019;0,48;zł;
0;POLSKA;maj;kurczęta patroszone - za 1kg;cena;2006;5,25;zł;
0;POLSKA;maj;kurczęta patroszone - za 1kg;cena;2007;6,21;zł;
0;POLSKA;maj;kurczęta patroszone - za 1kg;cena;2008;6,35;zł;
0;POLSKA;maj;kurczęta patroszone - za 1kg;cena;2009;6,95;zł;
0;POLSKA;maj;kurczęta patroszone - za 1kg;cena;2010;6,28;zł;
0;POLSKA;maj;kurczęta patroszone - za 1kg;cena;2011;7,39;zł;
0;POLSKA;maj;kurczęta patroszone - za 1kg;cena;2012;7,6;zł;
0;POLSKA;maj;kurczęta patroszone - za 1kg;cena;2013;7,64;zł;
0;POLSKA;maj;kurczęta patroszone - za 1kg;cena;2014;7,31;zł;
0;POLSKA;maj;kurczęta patroszone - za 1kg;cena;2015;6,75;zł;
0;POLSKA;maj;kurczęta patroszone - za 1kg;cena;2016;7,05;zł;
0;POLSKA;maj;kurczęta patroszone - za 1kg;cena;2017;6,88;zł;
0;POLSKA;maj;kurczęta patroszone - za 1kg;cena;2018;7,13;zł;
0;POLSKA;maj;kurczęta patroszone - za 1kg;cena;2019;7,61;zł;
0;POLSKA;maj;kiełbasa wędzona - za 1kg;cena;2006;11,67;zł;
0;POLSKA;maj;kiełbasa wędzona - za 1kg;cena;2007;11,66;zł;
0;POLSKA;maj;kiełbasa wędzona - za 1kg;cena;2008;12,37;zł;
0;POLSKA;maj;kiełbasa wędzona - za 1kg;cena;2009;13,78;zł;
0;POLSKA;maj;kiełbasa wędzona - za 1kg;cena;2010;13,93;zł;
0;POLSKA;maj;kiełbasa wędzona - za 1kg;cena;2011;14,27;zł;
0;POLSKA;maj;kiełbasa wędzona - za 1kg;cena;2012;15,38;zł;
0;POLSKA;maj;kiełbasa wędzona - za 1kg;cena;2013;15,87;zł;
0;POLSKA;maj;kiełbasa wędzona - za 1kg;cena;2014;15,8;zł;
0;POLSKA;maj;kiełbasa wędzona - za 1kg;cena;2015;15,4;zł;
0;POLSKA;maj;kiełbasa wędzona - za 1kg;cena;2016;15,09;zł;
0;POLSKA;maj;kiełbasa wędzona - za 1kg;cena;2017;;zł;
0;POLSKA;maj;kiełbasa wędzona - za 1kg;cena;2018;;zł;
0;POLSKA;maj;kiełbasa wędzona - za 1kg;cena;2019;;zł;
0;POLSKA;maj;mleko krowie spożywcze o zawartości tłuszczu 3-3,5%, sterylizowane - za 1l;cena;2006;2,42;zł;
0;POLSKA;maj;mleko krowie spożywcze o zawartości tłuszczu 3-3,5%, sterylizowane - za 1l;cena;2007;2,48;zł;
0;POLSKA;maj;mleko krowie spożywcze o zawartości tłuszczu 3-3,5%, sterylizowane - za 1l;cena;2008;2,83;zł;
0;POLSKA;maj;mleko krowie spożywcze o zawartości tłuszczu 3-3,5%, sterylizowane - za 1l;cena;2009;2,74;zł;
0;POLSKA;maj;mleko krowie spożywcze o zawartości tłuszczu 3-3,5%, sterylizowane - za 1l;cena;2010;2,7;zł;
0;POLSKA;maj;mleko krowie spożywcze o zawartości tłuszczu 3-3,5%, sterylizowane - za 1l;cena;2011;2,76;zł;
0;POLSKA;maj;mleko krowie spożywcze o zawartości tłuszczu 3-3,5%, sterylizowane - za 1l;cena;2012;2,8;zł;
0;POLSKA;maj;mleko krowie spożywcze o zawartości tłuszczu 3-3,5%, sterylizowane - za 1l;cena;2013;2,76;zł;
0;POLSKA;maj;mleko krowie spożywcze o zawartości tłuszczu 3-3,5%, sterylizowane - za 1l;cena;2014;3,01;zł;
0;POLSKA;maj;mleko krowie spożywcze o zawartości tłuszczu 3-3,5%, sterylizowane - za 1l;cena;2015;2,91;zł;
0;POLSKA;maj;mleko krowie spożywcze o zawartości tłuszczu 3-3,5%, sterylizowane - za 1l;cena;2016;2,72;zł;
0;POLSKA;maj;mleko krowie spożywcze o zawartości tłuszczu 3-3,5%, sterylizowane - za 1l;cena;2017;2,77;zł;
0;POLSKA;maj;mleko krowie spożywcze o zawartości tłuszczu 3-3,5%, sterylizowane - za 1l;cena;2018;2,75;zł;
0;POLSKA;maj;mleko krowie spożywcze o zawartości tłuszczu 3-3,5%, sterylizowane - za 1l;cena;2019;2,68;zł;
0;POLSKA;maj;mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l;cena;2006;1,57;zł;
0;POLSKA;maj;mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l;cena;2007;1,62;zł;
0;POLSKA;maj;mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l;cena;2008;2,03;zł;
